question,Context_precision,Context_recall
What does the 'people with disabilities symbol' refer to in the context of the Transport Operations (Road Use Management—Road Rules) Regulation 2009?,0.999999999975,1.0
What does subsection (1) not apply to when a driver is stationary?,0.0,0.0
What should be done when approaching and entering a roundabout?,0.999999999975,1.0
What does a slow vehicle turn out lane signify?,0.999999999975,1.0
What documents are required for a practical driving test?,0.999999999975,1.0
What does the 'people with disabilities symbol' refer to in the context of the Transport Operations (Road Use Management—Road Rules) Regulation 2009?,0.999999999975,1.0
What does subsection (1) not apply to when a driver is stationary?,0.0,0.0
What should be done when approaching and entering a roundabout?,0.999999999975,1.0
What are the requirements for taking a practical driving test?,0.26666666665333333,1.0
What is the condition under which a bicycle or personal mobility device rider can ride less than 50 meters along the road?,0.999999999975,1.0
What is the condition under which a bicycle or personal mobility device rider can ride less than 50 meters along the road?,0.999999999975,1.0
What does the 'people with disabilities symbol' refer to in the context of the Transport Operations (Road Use Management—Road Rules) Regulation 2009?,0.999999999975,1.0
What does the 'people with disabilities symbol' refer to in the context of the Transport Operations (Road Use Management—Road Rules) Regulation 2009?,0.999999999975,1.0
What does the 'people with disabilities symbol' refer to in the context of the Transport Operations (Road Use Management—Road Rules) Regulation 2009?,0.999999999975,1.0
What does subsection (1) not apply to when a driver is stationary?,0.26666666665333333,1.0
What should be done when approaching and entering a roundabout?,0.999999999975,1.0
What does a slow vehicle turn out lane signify?,0.999999999975,1.0
What documents are required for a practical driving test?,0.999999999975,1.0
What does a high-beam headlight mean in terms of its position relative to level ground?,0.999999999975,1.0
What does example 5 describe?,0.26666666665333333,1.0
What is the condition under which a bicycle or personal mobility device rider can ride less than 50 meters along the road?,0.999999999975,1.0
What defines a power-assisted bicycle according to the Act?,0.999999999975,1.0
What are the rules for stopping when approaching yellow T lights in trams?,0.999999999975,1.0
What are the signs mentioned in the snippet?,0.0,0.0
What are the rules for proceeding after stopping for a red or yellow B light?,0.999999999975,1.0
What are the accepted types of advance exit signs?,0.9999999999,1.0
What are the conditions under which a passenger must wear an approved motorbike helmet?,0.999999999975,1.0
Where can I find information about driving keys in Queensland?,0.26666666665333333,1.0
What are the requirements for taking a practical driving test?,0.26666666665333333,1.0
What are the options for completing the Q-Ride course if I live outside a 100km radius of a training provider?,0.999999999975,1.0
When can the maximum penalty not be applied for stopping and parking?,0.9999999999833333,1.0
What are the conditions under which a driver can approach and enter an intersection from another marked lane besides the right lane?,0.9999999999833333,1.0
What are the examples provided for parking angles?,0.999999999975,1.0
What websites can I refer to for the latest road rules and driver licensing requirements?,0.999999999975,1.0
How can I get help if I need a translator for understanding the publication?,0.9999999999833333,1.0
What are the accepted clauses in the Queensland Manual of Uniform Traffic Control Devices?,0.3333333333,1.0
Under what conditions can a driver move from one marked lane to another without crossing a continuous line separating the lanes?,0.9999999999833333,1.0
"What are the requirements for obtaining a driving license in Queensland, Australia?",0.0,0.0
What are the conditions for maintaining distance between vehicles based on their type?,0.999999999975,1.0
What are the details for No overtaking or passing signs (93)?,0.0,0.0
What are the regulations for stopping and giving way at a stop sign or stop line in intersections without traffic lights?,0.999999999975,1.0
What are the main sections covered in the snippet?,0.9999999999833333,1.0
What does a black and white diagram represent in traffic signs?,0.999999999975,1.0
